fleet_id,vehicle,fuel_type,fuel_liters,dist_km,mpg,year,km_per_liter,litros_teoricos,co2_kg,vehicle_cat
PN62FBG,SMALL VAN,D,302.01,4161.75324,43.94,2013,13.780183570080462,302.01,809.3868,Van
PN62FBL,SMALL VAN,D,545.51,6503.3429399999995,37.64,2013,11.92158336235816,545.51,1461.9668000000001,Van
4610,HOOKLOADER,D,12510.04,23306.0,5.37,2013,1.86298365153109,12510.04,33526.9072,Truck
4611,HOOKLOADER,D,11288.6,21817.0,5.59,2013,1.932657725492975,11288.6,30253.448000000004,Truck
4613,HOOKLOADER,D,10731.56,20705.0,5.54,2013,1.929356030250961,10731.56,28760.5808,Truck
4612,HOOKLOADER,D,11916.0,23075.0,5.57,2013,1.9364719704598858,11916.0,31934.88,Truck
4614,HOOKLOADER,D,8566.02,16593.0,5.64,2013,1.937072292616641,8566.02,22956.933600000004,Truck
WS12/53,TRACTOR,D,587.04,,0.52,2013,,,1573.2672,Truck
WS06/21,TRACTOR,D,20.07,,0.5,2013,,,53.787600000000005,Truck
2214,MED VAN,D,130.0,833.63812,18.11,2013,6.412600923076923,130.0,348.40000000000003,Van
5022,18TN D/M,D,6532.47,17704.0,7.65,2013,2.7101540458662647,6532.47,17507.019600000003,Truck
5023,18TN D/M,D,6473.44,15958.0,6.96,2013,2.465149904841939,6473.44,17348.8192,Truck
5024,18TN D/M,D,5867.5,15642.0,7.53,2013,2.665871325095867,5867.5,15724.900000000001,Truck
5021,18TN D/M,D,7678.26,20464.0,7.53,2013,2.665187164800358,7678.26,20577.736800000002,Truck
3108,MED TIPPER,D,3685.08,22224.0,17.03,2013,6.0308053013774465,3685.08,9876.0144,Truck
430,WELFARE,D,3806.78,23449.69314,17.7,2013,6.159981175691792,3806.7799999999997,10202.1704,Bus
431,WELFARE,D,5158.12,30529.179799999998,16.92,2013,5.9186641256892045,5158.12,13823.7616,Bus
HWPMAST,MASTER,D,17366.36,,,2013,,,46541.844800000006,Van
4364,BULK GRITT,D,1661.07,5475.0,9.31,2013,3.2960681970055448,1661.07,4451.6676,Truck
85503,SWEEPER,D,6845.81,14336.0,5.91,2013,2.094127648883039,6845.81,18346.770800000002,Truck
85502,SWEEPER,D,7672.69,15440.0,5.68,2013,2.012332050428207,7672.69,20562.8092,Truck
